title,genres,director,cast,keywords,description,movieId,release_year
Whispers of the Cyborg II,Thriller|Fantasy|Adventure,Christopher Nolan,"Jake Gyllenhaal, Brad Pitt, Edward Norton","kidnapping, serial killer, conspiracy, corruption","In this futuristic tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",673,2023
Love in Wilderness II,Romance|Horror,Rob Reiner,"Julie Delpy, Rachel McAdams, Kate Winslet","love story, relationship, star-crossed lovers, secret crush","In this gripping tale, a main protagonist discovers a secret agent that threatens to change everything they know.",674,1980
Hearts in Galaxies II,Romance|Sci-Fi|Comedy,James Cameron,"Julie Delpy, Kate Winslet, Ethan Hawke","destiny, relationship, forbidden love, secret crush","In this breathtaking tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",675,1985
Hearts in Galaxies II,Romance|Adventure,Marc Webb,"Leonardo DiCaprio, Ethan Hawke, Julie Delpy","star-crossed lovers, love story, second chance, destiny","In this futuristic tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",676,2011
Beyond the Deep Sea II,Sci-Fi|Action|Romance,Lana Wachowski,"Keanu Reeves, Mark Hamill, Matthew McConaughey","future, dystopia, time travel, simulation","In this haunting tale, a main protagonist battles their deepest fears that threatens to change everything they know.",677,1989
The Last Paris II,Adventure,Ridley Scott,"Elijah Wood, Sam Neill, Daniel Radcliffe","journey, ancient, quest, wilderness","In this unforgettable tale, a main protagonist falls in love with a digital virtual world that threatens to change everything they know.",678,1978
Return of the Revenge II,Fantasy|Comedy,Guillermo del Toro,"Johnny Depp, Orlando Bloom, Daniel Radcliffe","wizards, magic, prophecy, elves","In this spectacular tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",679,2001
The AI Escape,Action|Horror|Romance,Christopher Nolan,"Leonardo DiCaprio, Robert Downey Jr., Chris Hemsworth","revenge, car chase, superhero, fight","In this dangerous tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",680,1997
The Algorithm Project II,Sci-Fi|Horror|Fantasy,Christopher Nolan,"Zoe Saldana, Ryan Gosling, Mark Hamill","future, space travel, alien, dystopia","In this breathtaking tale, a main protagonist confronts a post-apocalyptic wasteland that threatens to change everything they know.",681,1982
Whispers of the Artifact II,Thriller,Martin Scorsese,"Leonardo DiCaprio, Brad Pitt, Jake Gyllenhaal","hostage, ticking clock, conspiracy, serial killer","In this unforgettable tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",682,2001
The Haunting Heist II,Action|Sci-Fi,John Woo,"Leonardo DiCaprio, Keanu Reeves, Robert Downey Jr.","heist, martial arts, car chase, superhero","In this unforgettable tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",683,1988
Secrets of the Galaxies,Mystery|Comedy|Fantasy,Christopher Nolan,"Jake Gyllenhaal, Christian Bale, Leonardo DiCaprio","puzzle, twist ending, detective, disappearance","In this dangerous tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",684,1987
Love in Shadows,Romance,Marc Webb,"Hugh Grant, Ethan Hawke, Kate Winslet","relationship, forbidden love, star-crossed lovers, love story","In this breathtaking tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",685,1986
Beyond the Shadows II,Sci-Fi|Drama,Ridley Scott,"Carrie Fisher, Zoe Saldana, Matt Damon","artificial intelligence, cyborg, alien, space travel","In this breathtaking tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",686,2011
The Pharaoh Syndicate,Crime,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this haunting tale, a main protagonist discovers a deadly conspiracy that threatens to change everything they know.",687,1981
Chronicles of Shadows II,Adventure|Romance|Horror,George Lucas,"Ian McKellen, Johnny Depp, Daniel Radcliffe","treasure hunt, island, journey, exploration","In this haunting tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",688,2019
The Cyborg Equation II,Sci-Fi,Ridley Scott,"Zoe Saldana, Matthew McConaughey, Carrie Fisher","artificial intelligence, future, space travel, simulation","In this mysterious tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",689,2021
The Dreamer Escape II,Action,George Miller,"Tom Cruise, Hugh Jackman, Chris Hemsworth","heist, superhero, rescue, martial arts","In this haunting tale, a main protagonist confronts a secret agent that threatens to change everything they know.",690,1982
The Deep Sea Escape II,Action|Sci-Fi,Christopher Nolan,"Keanu Reeves, Charlize Theron, Leonardo DiCaprio","car chase, fight, superhero, explosion","In this breathtaking tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",691,2022
The Cyborg Escape II,Action|Adventure,Michael Bay,"Tom Cruise, Scarlett Johansson, Hugh Jackman","fight, explosion, heist, rescue","In this gripping tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",692,2020
Secrets of the Revenge II,Mystery|Drama|Comedy,David Fincher,"Amy Adams, Jake Gyllenhaal, Christian Bale","disappearance, twist ending, conspiracy, detective","In this spectacular tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",693,1977
Secrets of the High School,Mystery|Horror|Comedy,Christopher Nolan,"Hugh Jackman, Amy Adams, Robert Downey Jr.","secret identity, puzzle, detective, twist ending","In this haunting tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",694,1998
Whispers of the Shadows II,Thriller,Alfred Hitchcock,"Ben Affleck, Jake Gyllenhaal, Morgan Freeman","corruption, psychological, conspiracy, hostage","In this mysterious tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",695,1975
Love in Galaxies II,Romance,Rob Reiner,"Ethan Hawke, Kate Winslet, Ryan Gosling","love story, destiny, relationship, secret crush","In this unforgettable tale, a main protagonist navigates a hidden empire that threatens to change everything they know.",696,2001
Whispers of the Cyborg II,Thriller,Martin Scorsese,"Leonardo DiCaprio, Edward Norton, Christian Bale","corruption, hostage, serial killer, ticking clock","In this unforgettable tale, a main protagonist battles a hidden empire that threatens to change everything they know.",697,2022
Whispers of the Pharaoh II,Thriller,Alfred Hitchcock,"Morgan Freeman, Ben Affleck, Jake Gyllenhaal","serial killer, psychological, ticking clock, hostage","In this mysterious tale, a main protagonist discovers a secret agent that threatens to change everything they know.",698,1999
Chronicles of High School,Adventure,George Lucas,"Harrison Ford, Emma Watson, Orlando Bloom","ancient, wilderness, survival, journey","In this dangerous tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",699,2015
The Wilderness Project II,Sci-Fi|Horror|Adventure,Christopher Nolan,"Sandra Bullock, Matthew McConaughey, Sigourney Weaver","space travel, artificial intelligence, dystopia, simulation","In this breathtaking tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",700,1995
Beyond the Pharaoh II,Sci-Fi|Thriller|Mystery,Lana Wachowski,"Mark Hamill, Matthew McConaughey, Sandra Bullock","simulation, space travel, future, time travel","In this haunting tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",701,2023
Hearts in Wilderness II,Romance|Comedy,Richard Linklater,"Ethan Hawke, Hugh Grant, Julia Roberts","relationship, star-crossed lovers, secret crush, destiny","In this futuristic tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",702,2012
The Galaxies Syndicate II,Crime|Romance,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this spectacular tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",703,1994
Chronicles of Destiny II,Adventure|Comedy,Peter Jackson,"Sam Neill, Orlando Bloom, Emma Watson","ancient, exploration, quest, wilderness","In this breathtaking tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",704,1981
The Dimension Heist II,Action|Adventure|Mystery,George Miller,"Scarlett Johansson, Christian Bale, Chris Hemsworth","superhero, martial arts, revenge, heist","In this mysterious tale, a main protagonist battles a hidden empire that threatens to change everything they know.",705,2015
Secrets of the Algorithm II,Mystery|Thriller,Denis Villeneuve,"Jake Gyllenhaal, Leonardo DiCaprio, Daniel Craig","murder mystery, twist ending, puzzle, disappearance","In this haunting tale, a main protagonist confronts a secret agent that threatens to change everything they know.",706,1992
The Symphony Heist II,Action|Mystery,James Cameron,"Keanu Reeves, Christian Bale, Robert Downey Jr.","revenge, explosion, fight, superhero","In this futuristic tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",707,2003
Shadow of the Dreamer II,Thriller|Fantasy,David Fincher,"Edward Norton, Jodie Foster, Jake Gyllenhaal","hostage, kidnapping, serial killer, corruption","In this unforgettable tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",708,2022
Return of the Pharaoh,Fantasy,Peter Jackson,"Elijah Wood, Orlando Bloom, Viggo Mortensen","magic, wizards, elves, dark lord","In this unforgettable tale, a main protagonist discovers a secret agent that threatens to change everything they know.",709,1976
Beyond the Pharaoh II,Sci-Fi|Mystery,Denis Villeneuve,"Carrie Fisher, Sigourney Weaver, Keanu Reeves","simulation, alien, dystopia, space travel","In this dangerous tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",710,1979
Love in Paris II,Romance|Sci-Fi,Rob Reiner,"Julia Roberts, Hugh Grant, Ethan Hawke","forbidden love, relationship, secret crush, destiny","In this gripping tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",711,1977
Hearts in Symphony II,Romance,Marc Webb,"Leonardo DiCaprio, Ethan Hawke, Julia Roberts","second chance, destiny, love story, star-crossed lovers","In this dangerous tale, a main protagonist battles their deepest fears that threatens to change everything they know.",712,1985
