title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
The Dimension Heist II,Action Sci-Fi Drama,George Miller,"Tom Cruise, Hugh Jackman, Robert Downey Jr.","fight, martial arts, explosion, rescue","In this breathtaking tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",545,2019,georgemiller,tomcruise hughjackman robertdowneyjr.,fight martialarts explosion rescue,action sci-fi drama,"action sci-fi drama georgemiller tomcruise hughjackman robertdowneyjr. fight martialarts explosion rescue in this breathtaking tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know."
Whispers of the Artifact II,Thriller Drama,Alfred Hitchcock,"Leonardo DiCaprio, Morgan Freeman, Jodie Foster","kidnapping, serial killer, corruption, hostage","In this breathtaking tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",546,2008,alfredhitchcock,leonardodicaprio morganfreeman jodiefoster,kidnapping serialkiller corruption hostage,thriller drama,"thriller drama alfredhitchcock leonardodicaprio morganfreeman jodiefoster kidnapping serialkiller corruption hostage in this breathtaking tale, a main protagonist discovers a hidden empire that threatens to change everything they know."
Beyond the Symphony,Sci-Fi,Christopher Nolan,"Keanu Reeves, Mark Hamill, Sigourney Weaver","space travel, future, time travel, artificial intelligence","In this mysterious tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",547,1993,christophernolan,keanureeves markhamill sigourneyweaver,spacetravel future timetravel artificialintelligence,sci-fi,"sci-fi christophernolan keanureeves markhamill sigourneyweaver spacetravel future timetravel artificialintelligence in this mysterious tale, a main protagonist travels to a forbidden romance that threatens to change everything they know."
How to Deep Sea II,Comedy Mystery Sci-Fi,Edgar Wright,"Jonah Hill, Ben Stiller, Seth Rogen","satire, slapstick, parody, coming of age","In this mysterious tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",548,1991,edgarwright,jonahhill benstiller sethrogen,satire slapstick parody comingofage,comedy mystery sci-fi,"comedy mystery sci-fi edgarwright jonahhill benstiller sethrogen satire slapstick parody comingofage in this mysterious tale, a main protagonist battles a forbidden romance that threatens to change everything they know."
Hearts in Haunting II,Romance Adventure,Richard Linklater,"Leonardo DiCaprio, Hugh Grant, Kate Winslet","second chance, star-crossed lovers, destiny, forbidden love","In this gripping tale, a main protagonist confronts a post-apocalyptic wasteland that threatens to change everything they know.",549,2006,richardlinklater,leonardodicaprio hughgrant katewinslet,secondchance star-crossedlovers destiny forbiddenlove,romance adventure,"romance adventure richardlinklater leonardodicaprio hughgrant katewinslet secondchance star-crossedlovers destiny forbiddenlove in this gripping tale, a main protagonist confronts a post-apocalyptic wasteland that threatens to change everything they know."
How to Deep Sea II,Comedy Drama,Todd Phillips,"Jim Carrey, Jonah Hill, Ben Stiller","satire, coming of age, misunderstanding, slapstick","In this futuristic tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",550,1984,toddphillips,jimcarrey jonahhill benstiller,satire comingofage misunderstanding slapstick,comedy drama,"comedy drama toddphillips jimcarrey jonahhill benstiller satire comingofage misunderstanding slapstick in this futuristic tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know."
The Last Galaxies II,Adventure Fantasy,George Lucas,"Elijah Wood, Johnny Depp, Sam Neill","treasure hunt, wilderness, survival, journey","In this mysterious tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",551,1984,georgelucas,elijahwood johnnydepp samneill,treasurehunt wilderness survival journey,adventure fantasy,"adventure fantasy georgelucas elijahwood johnnydepp samneill treasurehunt wilderness survival journey in this mysterious tale, a main protagonist confronts a digital virtual world that threatens to change everything they know."
Diary of a Dreamer,Drama,Francis Ford Coppola,"Kate Winslet, Tim Robbins, Joaquin Phoenix","ambition, betrayal, friendship, family struggle","In this dangerous tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",552,1983,francisfordcoppola,katewinslet timrobbins joaquinphoenix,ambition betrayal friendship familystruggle,drama,"drama francisfordcoppola katewinslet timrobbins joaquinphoenix ambition betrayal friendship familystruggle in this dangerous tale, a main protagonist navigates a forbidden romance that threatens to change everything they know."
Tales of Symphony II,Fantasy Adventure,Guillermo del Toro,"Emma Watson, Johnny Depp, Viggo Mortensen","prophecy, dark lord, wizards, dragons","In this unforgettable tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",553,1975,guillermodeltoro,emmawatson johnnydepp viggomortensen,prophecy darklord wizards dragons,fantasy adventure,"fantasy adventure guillermodeltoro emmawatson johnnydepp viggomortensen prophecy darklord wizards dragons in this unforgettable tale, a main protagonist discovers a forbidden romance that threatens to change everything they know."
Diary of a Destiny,Drama,Frank Darabont,"Kate Winslet, Robert De Niro, Brad Pitt","hope, ambition, betrayal, mental illness","In this haunting tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",554,1986,frankdarabont,katewinslet robertdeniro bradpitt,hope ambition betrayal mentalillness,drama,"drama frankdarabont katewinslet robertdeniro bradpitt hope ambition betrayal mentalillness in this haunting tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know."
High School Night II,Horror Romance,Jordan Peele,"Florence Pugh, Jamie Lee Curtis, Vera Farmiga","monster, haunted house, curse, possession","In this spectacular tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",555,1986,jordanpeele,florencepugh jamieleecurtis verafarmiga,monster hauntedhouse curse possession,horror romance,"horror romance jordanpeele florencepugh jamieleecurtis verafarmiga monster hauntedhouse curse possession in this spectacular tale, a main protagonist confronts a digital virtual world that threatens to change everything they know."
Shadow of the Deep Sea II,Thriller Horror,David Fincher,"Brad Pitt, Jodie Foster, Ben Affleck","hostage, corruption, serial killer, conspiracy","In this unforgettable tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",556,1977,davidfincher,bradpitt jodiefoster benaffleck,hostage corruption serialkiller conspiracy,thriller horror,"thriller horror davidfincher bradpitt jodiefoster benaffleck hostage corruption serialkiller conspiracy in this unforgettable tale, a main protagonist investigates their deepest fears that threatens to change everything they know."
The Wilderness Escape II,Action,Michael Bay,"Hugh Jackman, Charlize Theron, Chris Hemsworth","revenge, heist, martial arts, explosion","In this breathtaking tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",557,2023,michaelbay,hughjackman charlizetheron chrishemsworth,revenge heist martialarts explosion,action,"action michaelbay hughjackman charlizetheron chrishemsworth revenge heist martialarts explosion in this breathtaking tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know."
Chronicles of Dimension,Adventure Fantasy Sci-Fi,Steven Spielberg,"Sam Neill, Tom Hanks, Harrison Ford","wilderness, survival, island, treasure hunt","In this gripping tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",558,1989,stevenspielberg,samneill tomhanks harrisonford,wilderness survival island treasurehunt,adventure fantasy sci-fi,"adventure fantasy sci-fi stevenspielberg samneill tomhanks harrisonford wilderness survival island treasurehunt in this gripping tale, a main protagonist travels to a hidden empire that threatens to change everything they know."
Love in Destiny II,Romance,Rob Reiner,"Ethan Hawke, Hugh Grant, Julie Delpy","secret crush, love story, star-crossed lovers, forbidden love","In this spectacular tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",559,2004,robreiner,ethanhawke hughgrant juliedelpy,secretcrush lovestory star-crossedlovers forbiddenlove,romance,"romance robreiner ethanhawke hughgrant juliedelpy secretcrush lovestory star-crossedlovers forbiddenlove in this spectacular tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know."
The Last AI II,Adventure Fantasy Comedy,Steven Spielberg,"Tom Hanks, Elijah Wood, Harrison Ford","treasure hunt, journey, survival, island","In this mysterious tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",560,1983,stevenspielberg,tomhanks elijahwood harrisonford,treasurehunt journey survival island,adventure fantasy comedy,"adventure fantasy comedy stevenspielberg tomhanks elijahwood harrisonford treasurehunt journey survival island in this mysterious tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know."
Whispers of the Shadows II,Thriller Action Fantasy,Alfred Hitchcock,"Leonardo DiCaprio, Morgan Freeman, Edward Norton","corruption, psychological, conspiracy, ticking clock","In this dangerous tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",561,2019,alfredhitchcock,leonardodicaprio morganfreeman edwardnorton,corruption psychological conspiracy tickingclock,thriller action fantasy,"thriller action fantasy alfredhitchcock leonardodicaprio morganfreeman edwardnorton corruption psychological conspiracy tickingclock in this dangerous tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know."
